source,source_name,target,destination_name,value,type
0,Total Receipts,1,Total Revenue Receipts,5,reverse
0,Total Receipts,6,Total Capital Receipts,5,reverse
1,Total Revenue Receipts,2,State's Own Tax,3,reverse
1,Total Revenue Receipts,3,State's Own Non-Tax,3,reverse
1,Total Revenue Receipts,4,Share in Central Taxes,3,reverse
1,Total Revenue Receipts,5,Grants-in-aid from Centre,3,reverse
6,Total Capital Receipts,7,Borrowings,3,reverse
6,Total Capital Receipts,8,Other receipts,3,reverse
0,Total Receipts,9,Total Budgetary Expenditure,8,
9,Total Budgetary Expenditure,10,Revenue Expenditure,5,
9,Total Budgetary Expenditure,11,Capital Expenditure,5,
