DDO Code,DDO Name,Budget Code,Allotment Serial No,Allotment Date,Allotment ID,Alloted Amount,Expenditure,Surrender/Withdrwal,Deduct Amount,Balance
BLSHOM002,Deputy Inspector General of Police(Eastern Range) Balasore,01-2055-00-001-0534-02003-000-11-1-0,1,01-Mar-18,5548,3000,0,0,0,3000
BLSHOM008,Superintendent of Police Balasore,01-2055-00-109-0321-09001-000-11-1-0,1,01-Mar-18,5547,61868,0,0,0,61868
BLSHOM008,Superintendent of Police Balasore,01-2055-00-109-0321-01003-136-11-1-0,1,01-Mar-18,5546,9800000,5553483,0,0,4246517
BLSEDN003,"District Education Officer, Balasore",10-2202-02-101-1791-01003-156-11-1-0,1,28-Feb-18,5517,374012,0,0,0,374012
BLSEDN003,"District Education Officer, Balasore",10-2202-02-110-0976-41048-921-11-1-0,1,28-Feb-18,5505,28251814,0,0,0,28251814
BLSEDN012,Head Master Government High School Hirapur Balasore,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,5510,171944,0,0,0,171944
BLSEDN014,Head Master Government High School Khaira Soro,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,1562,47422,0,0,0,47422
BLSEDN018,Head Master Nilambar High School Tudigadia Soro,10-2202-02-109-1261-01003-516-11-1-0,1,28-Feb-18,1563,7000,7000,0,0,0
BLSEDN020,Head Master Sambunth High School Basta,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,679,267130,0,0,0,267130
BLSEDN022,"Principal,Government Elementary Teacher Education",10-2202-02-105-1262-08001-506-21-1-2,1,28-Feb-18,1567,40000,0,0,0,40000
BLSEDN022,"Principal,Government Elementary Teacher Education",10-2202-02-105-1262-08001-506-21-1-2,1,28-Feb-18,1566,50000,0,0,0,50000
BLSEDN025,Head Mistress Barabati Girls High School Barabati Balasore,10-2202-02-109-1261-01003-156-11-1-0,2,28-Feb-18,5513,61663,0,0,0,61663
BLSEDN025,Head Mistress Barabati Girls High School Barabati Balasore,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,5511,873500,0,0,0,873500
BLSEDN029,Head Mistress Ramkrishna Government High School,10-2202-02-109-1261-01003-516-11-1-0,1,28-Feb-18,649,13000,0,0,0,13000
BLSEDN029,Head Mistress Ramkrishna Government High School,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,648,283920,0,0,0,283920
BLSEDN029,Head Mistress Ramkrishna Government High School,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,645,1457000,0,0,0,1457000
BLSEDN031,Head Master Remuna High School Remuna Balasore,10-2202-02-109-1261-01003-136-11-1-0,1,28-Feb-18,5512,171100,0,0,0,171100
BLSEDU001,Principal Belabhumi Mahavidyalaya Avana Balasore,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,5539,1672572,0,0,0,1672572
BLSEDU003,Principal Dinakrushna College Jaleswar,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,651,1966234,0,0,0,1966234
BLSEDU003,Principal Dinakrushna College Jaleswar,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,650,2167909,0,0,0,2167909
BLSEDU006,Principal Gopalpur College Gopalpur Balasore,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,5532,119268,0,0,0,119268
BLSEDU006,Principal Gopalpur College Gopalpur Balasore,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,5540,1028027,0,0,0,1028027
BLSEDU007,Principal Harekrushna Mahatab College Kupari Soro,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,1568,2301975,0,0,0,2301975
BLSEDU007,Principal Harekrushna Mahatab College Kupari Soro,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,1564,2776214,0,0,0,2776214
BLSEDU008,Principal Jadunath College Rasalpur Balasore,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,5541,88552,0,0,0,88552
BLSEDU010,Principal Khaira College Khaira Soro,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,1569,3458307,0,0,0,3458307
BLSEDU013,Principal Nilgiri College Nilgiri,38-2202-03-104-0973-41048-921-11-1-0,1,28-Feb-18,1137,2423885,0,0,0,2423885
