DDO Code,DDO Name,Budget Code,Allotment Serial No,Allotment Date,Allotment ID,Alloted Amount,Expenditure,Surrender/Withdrwal,Deduct Amount,Balance
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-136-0-1-0,1,18-Apr-16,155,32000,32000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-156-0-1-0,2,18-Apr-16,156,43200,43200,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-403-0-1-0,3,18-Apr-16,157,1920,1920,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-516-0-1-0,4,18-Apr-16,158,224,224,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,5,18-Apr-16,159,850,850,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-136-0-1-0,1,07-Jun-16,721,225000,208240,16760,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-156-0-1-0,2,07-Jun-16,722,303750,270726,33024,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-403-0-1-0,3,07-Jun-16,723,12000,10092,1908,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-01003-516-0-1-0,4,07-Jun-16,724,1080,1080,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,5,07-Jun-16,725,2000,2000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,1,11-Apr-16,125,1050000,1050000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,2,11-Apr-16,126,1417500,1417500,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,3,11-Apr-16,127,22100,22100,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,4,11-Apr-16,128,8450,8450,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,5,11-Apr-16,129,3150,3150,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,6,11-Apr-16,130,640000,640000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,7,11-Apr-16,131,20900,20900,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,8,11-Apr-16,132,5000,5000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,9,11-Apr-16,133,750,750,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,10,11-Apr-16,134,6400,6400,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,11,11-Apr-16,135,2770,2770,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,12,11-Apr-16,136,525,525,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,13,11-Apr-16,137,800,800,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,1,22-Jun-16,848,600000,600000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,1,22-Jun-16,850,500000,500000,0,0,0
