Year, 1950-51 , 1951-52 , 1952-53 , 1953-54 , 1954-55 , 1955-56 , 1956-57 , 1957-58 , 1958-59 , 1959-60 , 1960-61 , 1961-62 , 1962-63 , 1963-64 , 1964-65 , 1965-66 , 1966-67 , 1967-68 , 1968-69 , 1969-70 , 1970-71 , 1971-72 , 1972-73 , 1973 74 , 1974-75 , 1975-76 , 1976-77 , 1977-78 , 1978-79 , 1979-80 , 1980-81 , 1981-82 , 1982-83 , 1983-84 , 1984-85 , 1985-86 , 1986-87 , 1987-88 , 1988-89 , 1989-90 , 1990-91 , 1991-92 , 1992-93 , 1993-94 , 1994-95 , 1995-96 , 1996-97 , 1997-98 , 1998-99 , 1999-2000 , 2000-01 , 2001-02 , 2002-03 , 2003-04 , 2004-05 , 2005-06 , 2006-07 , 2007-08 , 2008-09 , 2009-10 , 2010-11 , 2011-12 , 2012-13 , 2013-14 (RE) ,2014-15 (BE) 
Total tax revenue (All India) (A+C) - Direct ,231,244,252,242,240,259,288,327,344,378,402,449,560,693,743,734,767,780,840,963,1009,1171,1346,1552,1834,2493,2585,2680,2851,3096,3268,4133,4492,4907,5330,6252,6889,7483,9758,11165,12260,16657,19387,21713,28878,35777,41061,50538,49119,60864,71762,73109,87365,109546,137093,167635,231376,318839,327981,376995,450822,501395,568717,646907,748643
Total tax revenue (All India) (A+C) - Indirect ,396,495,426,430,480,509,602,718,745,838,948,1094,1305,1632,1856,2188,2494,2676,2919,3237,3743,4404,5090,5837,7389,8689,9747,10557,12677,14587,16576,20009,22750,26618,30484,37015,42650,49493,57168,66528,75462,86541,94779,100248,118971,139482,159995,170121,183898,213719,233558,241426,268912,304538,357277,420053,505331,551490,587469,623849,820843,966496,1147400,1293539,1489472
Total tax revenue (All India) (A+C) - Total ,627,739,678,672,720,768,890,1045,1089,1216,1350,1543,1865,2325,2599,2922,3261,3456,3759,4200,4752,5575,6436,7389,9223,11182,12332,13237,15528,17683,19844,24142,27242,31525,35814,43267,49539,56976,66926,77693,87722,103198,114166,121961,147849,175259,201056,220659,233017,274583,305322,314535,356277,414083,494370,587688,736707,870329,915450,1000844,1271665,1467891,1716117,1940446,2238115
Central taxes (gross) (A) - Direct ,176,190,186,166,161,171,194,230,238,269,292,337,423,550,600,598,657,655,698,826,869,1047,1233,1375,1650,2205,2328,2405,2528,2818,2997,3786,4139,4498,4798,5620,6236,6752,8830,10003,11030,15353,18140,20299,26973,33564,38898,48282,46601,57960,68305,69198,83363,105091,132183,162337,225045,312220,319892,367595,438515,488160,554063,630830,730240
Central taxes (gross) (A) - Indirect ,229,322,259,254,294,314,376,462,463,525,603,717,862,1084,1221,1463,1650,1698,1812,1996,2337,2826,3272,3695,4672,5404,5943,6453,7997,9156,10182,12061,13557,16223,18673,23050,26602,30913,35644,41633,46547,52008,56496,55443,65324,77660,90864,90938,97196,113792,120298,117862,132542,149257,172774,203814,248467,280927,285406,256932,354556,400738,482172,528075,634285
Central taxes (gross) (A) - Total ,405,512,445,420,455,485,570,692,701,794,895,1054,1285,1634,1821,2061,2307,2353,2510,2822,3206,3873,4505,5070,6322,7609,8271,8858,10525,11974,13179,15847,17696,20721,23471,28670,32838,37665,44474,51636,57577,67361,74636,75742,92297,111224,129762,139220,143797,171752,188605,187060,215905,254347,304957,366151,473512,593147,605298,624527,793072,888898,1036234,1158906,1364524
States share in central taxes (B) - Direct ,48,53,56,58,57,57,51,76,75,79,90,98,99,124,131,130,142,181,200,300,365,470,495,539,522,742,662,685,717,876,1014,1034,1148,1188,1252,1865,2170,2595,2750,3922,4121,5104,6057,7767,8560,11274,13516,21102,14480,16523,18655,21492,21473,28492,36828,44511,60454,80650,85674,105911,131394,152270,162073,186103,215254
States share in central taxes (B) - Indirect ,- ,- ,17,15,14,17,27,40,73,73,75,81,125,136,127,146,231,235,291,321,390,475,567,631,703,857,1028,1113,1240,2530,2777,3240,3492,4057,4525,5625,6306,7002,7919,9310,10414,12093,14465,14473,16283,18011,21545,22446,24665,26958,33290,31906,34649,38874,43331,51376,61876,72950,76305,62081,91809,107142,132284,136777,176467
States share in central taxes (B) - Total,48,53,73,73,71,74,78,116,148,152,165,179,224,260,258,276,373,416,491,621,755,945,1062,1170,1225,1599,1690,1798,1957,3406,3791,4274,4640,5245,5777,7490,8476,9597,10669,13232,14535,17197,20522,22240,24843,29285,35061,43548,39145,43481,51945,53398,56122,67366,80159,95887,122331,153600,161979,167992,223203,259412,294357,322880,391721
Central taxes (net) (A-B) - Direct ,128,137,130,108,104,114,143,154,163,190,202,239,324,426,469,468,515,474,498,526,504,577,738,836,1128,1463,1666,1720,1811,1942,1983,2752,2991,3310,3546,3755,4066,4157,6080,6081,6909,10249,12083,12532,18413,22290,25382,27180,32121,41437,49652,47705,61890,76599,95355,117826,164591,231570,234218,261684,307121,335890,391990,444727,514986
