year,Andhra Pradesh,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Orissa,Punjab,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal,Arunachal Pradesh,Assam,Himachal Pradesh,Jammu and Kashmir,Manipur,Meghalaya,Mizoram,Nagaland,Sikkim,Tripura,Uttarakhand,NCT Delhi,Puducherry,All States
1980-81,222,336,0,0,247,112,0,226,180,337,463,134,160,207,210,551,289,0,-27,-35,145,-7,-8,0,-26,6,-9,0,0,0,3712
1981-82,244,409,0,0,254,102,0,118,62,238,489,142,178,327,213,452,380,0,172,57,136,27,17,0,20,5,25,0,0,0,4063
1982-83,172,435,0,0,377,189,0,280,123,291,552,212,183,275,326,582,498,0,200,74,142,17,15,0,30,-2,17,0,0,0,4986
1983-84,493,328,0,0,398,134,0,288,299,366,740,192,262,298,364,1082,414,0,327,58,198,26,10,0,41,7,35,0,0,0,6359
1984-85,591,396,0,0,520,235,0,563,232,494,1051,328,479,363,398,1494,340,0,367,80,248,15,2,0,-5,-3,12,0,0,0,8200
1985-86,435,326,0,0,514,230,0,550,323,516,1234,326,566,343,365,1058,259,0,154,35,247,-9,-8,41,-12,12,15,0,0,0,7520
1986-87,804,461,0,61,900,170,0,514,440,561,1065,372,343,467,454,1410,587,23,243,89,244,32,5,-22,30,1,15,0,0,0,9269
1987-88,568,825,0,72,976,216,0,518,448,725,1014,506,968,903,660,1014,551,38,421,129,417,17,2,102,60,9,62,0,0,0,11221
1988-89,673,535,0,64,735,289,0,497,412,871,1277,550,833,736,654,1802,579,1,303,254,410,33,10,11,48,11,84,0,0,0,11672
1989-90,972,994,0,95,952,393,0,625,604,723,1844,574,909,581,919,2482,1055,75,528,226,524,71,31,-3,141,30,89,0,0,0,15434
1990-91,967,1595,0,96,1798,386,0,559,799,1019,1611,616,1242,545,1126,3068,1634,26,568,279,661,40,41,-94,102,20,86,0,0,0,18787
1991-92,1125,1617,0,125,1876,375,0,918,803,984,1657,913,1151,792,1300,2837,1144,-20,255,224,449,69,72,5,96,41,94,0,0,0,18900
1992-93,1569,1331,0,90,1174,444,0,1386,732,876,2586,740,1252,1159,1749,3711,1013,-9,208,312,204,18,93,60,138,34,23,0,0,0,20891
1993-94,1833,1339,0,60,526,480,0,1254,935,983,2265,902,1493,1470,1358,3166,1672,16,-18,152,88,-20,88,8,174,31,111,0,232,0,20364
1994-95,2349,1342,0,45,1292,535,0,1513,1109,1417,2861,1159,1785,1763,1496,4767,1965,73,711,620,-23,62,35,38,239,46,110,0,389,0,27308
1995-96,2417,1571,0,97,1746,986,0,1457,1303,1633,4151,1396,1365,2574,1256,4381,2696,40,652,521,97,105,52,71,231,40,34,0,556,0,30870
1996-97,2812,891,0,104,2358,1099,0,1944,1543,1926,4954,1602,1465,2507,2445,5956,3397,70,74,572,166,168,23,125,184,56,122,0,690,0,36561
1997-98,2428,981,0,125,3175,1128,0,1610,2414,1821,6442,1803,2478,2552,2122,7576,4008,121,142,1202,444,188,127,124,204,67,196,0,726,0,43474
1998-99,5706,2379,0,269,5619,2240,0,3112,3012,4127,7462,2916,3779,5151,4777,11633,7109,55,338,1662,1054,106,147,132,243,147,118,0,959,0,73295
1999-00,4976,6108,0,341,6792,2133,0,4277,4537,3911,11706,3746,3195,5361,5382,11099,11666,59,1606,190,1339,656,209,179,249,93,290,0,1382,0,90099
2000-01,7306,4884,-48,413,7988,2265,0,4219,3878,2712,8976,3325,3904,4313,5076,10180,10920,210,1540,1845,2166,234,250,375,359,51,445,136,1610,0,87923
2001-02,6723,4010,1061,413,6511,2740,1643,5870,3269,3649,10898,3964,4958,5748,4739,9898,11804,275,1448,1511,748,340,221,422,366,67,538,424,1733,0,94260
2002-03,7625,4911,973,379,6080,1471,2187,5281,4994,4062,14290,2816,4401,6114,6742,9497,10569,214,928,2342,1245,249,161,315,443,10,537,889,2396,0,99726
2003-04,7450,4107,2204,445,9161,2933,1658,4501,5539,7323,17929,3573,4880,7372,5591,16648,12870,250,1394,2384,-17,286,202,306,-157,50,341,1407,2439,0,120631
2004-05,8192,1242,1232,551,8696,1206,3648,3600,4452,6492,18620,1366,4036,6146,5570,12998,10653,386,2057,1810,1008,449,313,234,218,186,240,2171,1483,0,107774
2005-06,8300,3700,425,603,6270,286,4918,3687,4182,4572,17630,276,2656,5150,2251,10078,9601,256,-356,720,1588,271,179,397,306,149,110,1878,-245,279,90084
2006-07,5643,3021,-33,487,5649,-1179,5257,4688,3822,2754,11553,-823,4384,3970,3956,9615,11431,-106,-711,921,1461,475,75,191,156,97,-131,886,410,399,77508
2007-08,8787,1705,128,541,4771,1264,6217,5331,6100,2784,-2821,-1323,4604,3408,3686,13794,11400,-16,-790,552,2609,-102,214,392,397,64,17,1742,2041,331,75455
2008-09(RE),10428,7494,2256,896,10360,3708,3751,9357,6315,5372,16220,2561,6856,6549,9248,20557,12694,1015,2177,1864,2325,473,125,372,721,345,756,1557,4235,1115,146349
2009-10(BE),16152,3696,2564,1389,12148,8557,4232,8493,5681,6436,26562,6004,9660,8420,11823,23299,22984,1118,10864,1592,2205,407,614,212,591,457,1277,2071,2890,901,199510
