slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color,Notes
fund_allocation_for_ministry_of_minority_affairs,Fund Allocation for Ministry of Minority Affairs,2174.0,3026.0,3089.0,3654.8,3827.0,3827.0,2832.46,4195.0,4195.0,4700.0,Rs.crore,#e4af1b,
fund_utilization_percentage_of_ministry_of_minority_affairs_over_budget_estimates,Fund Utilization % of Ministry of Minority Affairs over Budget Estimates,68.9,86.0,83.0,97.8,,,74.0,,,,Percentage,#e4af1b,"the budget allocation for MoMA has increased by 12percent in this budget, however, the fund utilization of MoMA has declined to 74 percent from 97.8 percent in 2015-2016"
maulan_azad_foundation,Maulan Azad Foundation,0.0,160.0,113.0,113.0,113.0,114.0,113.0,113.0,113.0,125.0,Rs.crore,#e4af1b,
merit_cum_means,Merit Cum Means,181.0,259.9,381.3,315.0,335.0,395.0,220.0,392.93,393.54,522.0,Rs.crore,#e4af1b,"The budgetary allocation has increased marginally in Multi-Sectoral Development Programme (MSDP) and some of the scholarship programmes like Merit Cum Means Scholarships, Post Matric Scholarships, Free Coaching, Maulana AzadEducation Foundation, Skill Development Initiatives (Rs.250 crore) and NaiManzil (Rs.140 crore).Pre Matric Scholarships and NMDFC have shown the decline in the budgetary allocation in 2018-19"
free_coaching,Free Coaching,14.0,23.6,31.3,44.84,45.0,40.0,40.0,48.0,48.0,153.0,Rs.crore,#e4af1b,
pre_matric,Pre Matric,786.0,962.9,1128.8,1015.73,931.0,931.0,369.25,950.0,1001.15,980.0,Rs.crore,#e4af1b,
post_matric,Post Matric,326.4,515.6,501.3,552.83,550.0,550.0,287.0,550.0,561.29,692.0,Rs.crore,#e4af1b,
maulana_azad_fellowship,Maulana Azad Fellowship,66.0,50.0,0.12,55.52,113.0,120.0,120.0,100.0,150.0,153.0,Rs.crore,#e4af1b,
national_minorities_development_finance_corporation,National Minorities Development & Finance Corporation,85.0,0.0,30.0,120.0,140.0,140.0,140.0,170.0,170.0,165.02,Rs.crore,#e4af1b,
multi_sectoral_development_programme,Multi-sectoral Development Programme,641.2,953.4,768.2,1120.73,1125.0,1059.0,1082.0,1200.0,1200.0,1319.98,Rs.crore,#e4af1b,
