slug_name,index_name,2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,Notes
"department_of_agriculture,_cooperation_and_farmers_welfare","Department of Agriculture, Cooperation and Farmers Welfare",24923,25255,28296,35984,39841,36912.48,41855,41105,46700,Rs. Crore,#449001,
"department_of_animal_husbandry,_dairying_and_fisheries","Department of Animal Husbandry, Dairying and Fisheries",1826,1822,1410,1882,1994,1858,2371,2167,3100,Rs. Crore,#449001,
department_of_agricultural_research_and_education,Department of Agricultural Research and Education,4731,4840,5386,6620,6238,5729,6800,6992,7800,Rs. Crore,#449001,
total_expenditure_under_moa_with_interest_subvention,Total Expenditure under MoA with Interest Subvention,31479,31917,35092,44485,48073,44500,51026,50264,57600,Rs. Crore,#449001,
interest__subvention_for_short_term_credit_to_farmers,Interest  Subvention for Short Term Credit to Farmers,6000,6000,13000,15000,13619,13397,15000,14750,15000,Rs. Crore,#449001,
share_of_expenditure_by_moa_in_total_expenditure_(%),Share of Expenditure by MoA in Total Expenditure (%),2.02,1.92,1.96,2.25,2.39,,2.38,,,Percentage (%),#449001,(including Interest Subvention) 
share_of_expenditure_by_moa_in_gdp_(%),Share of Expenditure by MoA in GDP (%),0.28,0.26,0.26,0.3,0.32,,0.3,,,Percentage (%),#449001, (including Interest Subvention)
pradhan_mantri_fasal_bima_yojana_(pmfby),Pradhan Mantri Fasal Bima Yojana (PMFBY),2551,2598,2983,5500,13240,11052,9000,10698,13000,Rs. Crore,#449001,
pradhan_mantri_krishi_sinchai_yojana_(pmksy),Pradhan Mantri Krishi Sinchai Yojana (PMKSY),6905,5580,7781,5767,5182,5089,7377,,,Rs. Crore,#449001,
rashtriya_krishi_vikas_yojana_(rkvy),Rashtriya Krishi Vikas Yojana (RKVY),7053,8443,3940,5400,3550,3892,4750,3050,3600,Rs. Crore,#449001,
national_food_security_mission_(nfsm),National Food Security Mission (NFSM),2027,1873,1162,1700,1280,1286,1720,1400,1691,Rs. Crore,#449001,
paramparagat_krishi_vikas_yojana_(pkvy),Paramparagat Krishi Vikas Yojana (PKVY),,,219,297,120,153,350,250,360,Rs. Crore,#449001,
national_mission_on_oil_seed_and_oil_palm_(nmoop),National Mission on Oil Seed and Oil Palm (NMOOP),556,316,306,500,376,328,403,328,400,Rs. Crore,#449001,
national_mission_on_horticulture_(nmh),National Mission on Horticulture (NMH),1809,1625,1696,1620,1660,1493,2320,2190,2536,Rs. Crore,#449001,
white_revolution,White Revolution,1449,1415,937,1138,1312,1309,1634,1633,2220,Rs. Crore,#449001,
blue_revolution,Blue Revolution,348,388,200,247,392,388,401,302,643,Rs. Crore,#449001,
