slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),color,unit,Notes
core_integrated_child_development_services(icds),Core Integrated Child Development Services(ICDS),15767.2,16400.8,16683.6,15489.3,14850,14735.6,14632.3,16745.2,16195.2,19334.9,#e4af1b,Rs. Crore,i) includes budgets for National Nutrition Mission; ii) Name changed from FY 2017-18 onwards.
national_creche_scheme,National Creche Scheme,106,100,97.7,133,150,150,124.6,200,65,128.4,#e4af1b,Rs. Crore,
pradhan_mantri_matru_vandana_yojana_(pmmvy),Pradhan Mantri Matru Vandana Yojana (PMMVY),82.1,231.9,343.1,233.4,400,634,75.5,2700,2594.6,2400,#e4af1b,Rs. Crore,Also known as IGMSY or Maternity Benefit Programme (MBP)
sabla,SABLA,503.6,603,622.4,475.2,460,460,482,460,460,500,#e4af1b,Rs. Crore,
food_subsidy,Food subsidy,85000,92000,117671.2,139419,134834.6,135173,"1,10,173.0","1,45,338.6","1,40,281.7","1,69,323.0",#e4af1b,Rs. Crore,
national_health_mission_(nhm),National Health Mission (NHM),18046.7,18633.8,19751.5,18971.5,19037,20037,22869.7,27131.2,31292.1,30634,#e4af1b,Rs. Crore,"NHM from FY 2017-18 includes NRHM, NUHM, tertiary care programme, and Human resources for health and medical"
mid-day_meal_(mdm),Mid-day Meal (MDM),10761.4,10917.6,10523.5,9144.89,9700,9700,9475.4,10000,10000,10500,#e4af1b,Rs. Crore,education
rashtriya_madhyamik_shiksha_abhiyan_(rmsa),Rashtriya Madhyamik Shiksha Abhiyan (RMSA),3172,2679,3398,3562.61,3700,3700,3697.5,3830,3914.9,4213,#e4af1b,Rs. Crore,
national_rural_driniking_water_programme_(nrdwp),National Rural Driniking Water Programme (NRDWP),10489.9,9691.3,9242.8,4369.6,5000,6000,5980,6050,7050,7000,#e4af1b,Rs. Crore,
swachh_bharat_mission_(rural_+_urban),Swachh Bharat Mission (Rural + Urban),2473.5,2243.5,3700.5,7469.2,11300,12800,12619.3,16248.3,19248.3,17843.1,#e4af1b,Rs. Crore,
mahatma_gandhi_national_rural_employment_guarantee_act_(mgnrega),Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),30273,32994.1,32976.7,37340.7,38500,47499,48215,48000,55000,55000,#e4af1b,Rs. Crore,
national_livelihoods_mission_(nrlm_+_nulm),National Livelihoods Mission (NRLM + NULM),2195.4,2022.1,2116.3,2783.1,3325,3334,3486.4,4849,4699,6060,#e4af1b,Rs. Crore,
national_social_assistance_programme_(nsap),National Social Assistance Programme (NSAP),7825,9406,7083.7,8616.4,9500,9500,8854.1,9500,8744.6,9975,#e4af1b,Rs. Crore,
national_food_security_mission_(nfsm),National Food Security Mission (NFSM),1722.9,2027,1872.7,1162.3,1700,1280,1286,1720,1400,1690.7,#e4af1b,Rs. Crore,
national_mission_for_sustainable_agriculture_(nmsa),National Mission for Sustainable Agriculture (NMSA),0,0,1268.4,685.9,1062.5,880,669.6,1226,824.1,1237.1,#e4af1b,Rs. Crore,"The schemes considered for allocations from FY 2015-16 onwards are as follows: Damodar Valley Corporation, National"
national_mission_on_oilseeds_and_oil_palm_(nmoop),National Mission on Oilseeds and Oil Palm (NMOOP),398.5,555.8,316.3,305.8,502.7,376,327.5,403,328.1,400,#e4af1b,Rs. Crore,"Project on Organic Farming, Organic Value Chain Development for NE Region, National Project on Soil Health and Fertility;"
rashtriya_krishi_vikas_yojana_(rkvy),Rashtriya Krishi Vikas Yojana (RKVY),8400,7052.5,8443.2,3940,5400,3550,3892,4750,3050,3600,#e4af1b,Rs. Crore,"Rainfed Area Development and Climate Change,"
white_revolution,White Revolution,1434.71,1449,999.5,937.1,1138,1311.8,1309.2,1634,1633,2219.9,#e4af1b,Rs. Crore,Paramparagat Krishi Vikas Yojana
blue_revolution,Blue Revolution,329.81,347.5,388,200,246.8,392.3,387.8,400.7,301.7,642.6,#e4af1b,Rs. Crore,", and National Project on Agro Forestry"
national_horticulture_mission,National Horticulture Mission,1089.3,1809.3,1954.7,1696.5,1620,1660,1493.1,2320,2190,2536,#e4af1b,Rs. Crore,
total_nutrition,Total Nutrition,200071,211164,239454,256936,262427,273173,250050,303506,309272,345238,#e4af1b,Rs. Crore,
