slug_name,index_name,2015-16 (A),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,Notes
department_for_empowerment_of_persons_with_disabilities,Department for Empowerment of Persons with Disabilities,554.9,783.5,772.6,855,955,1070,Rs crore,#004B68,
national_programme_for__welfare_of_persons_with_disabilities,National Programme for  Welfare of Persons with Disabilities,320.02,326.2,323.5,351.7,393.3,368.1,Rs crore,#004B68,
autonomous_bodies,Autonomous bodies,164.9,211.5,210.6,238.7,242.2,257.3,Rs crore,#004B68,
public_sector_undertakings,Public Sector Undertakings,39.6,35,35,37.7,37.7,43.5,Rs crore,#004B68,
schemes_under_persons_with_disabilities_act,Schemes under Persons with Disabilities Act,16.1,193,186.8,207,257,300,Rs crore,#004B68,
secretariat,Secretariat,14.9,17.8,17.6,19.8,24.8,25.5,Rs crore,#004B68,
assistance_for_purchase/fitting_of_aids_and_applicances,Assistance for Purchase/Fitting of Aids and Applicances,201.51,170,170,150,200,220,Rs crore,#004B68,
information_and_mass_education_cell,Information and Mass Education Cell,23.02,40,40,50,25,35,Rs crore,#004B68,
deendayal_disabled_rehabilitation_scheme,Deendayal Disabled Rehabilitation Scheme,50.19,45,45.1,60,60,70,Rs crore,#004B68,
support_for__braille_presses,Support for  Braille Presses,9.8,9.1,9.1,10,10,10,Rs crore,#004B68,
"in-service_training,_sensitization_&_employment","In-service training, sensitization & employment",4.94,5.1,4.7,5.1,5.1,5.1,Rs crore,#004B68,
support_for_national_trust,Support for National Trust,0.98,7,6.5,15.2,17,17,Rs crore,#004B68,
setting_up_of_state_spinal_injury_centre,Setting up of State Spinal Injury Centre,0.5,5,5,5,5,5,Rs crore,#004B68,
indian_spinal_injury_centre,Indian Spinal Injury Centre,2,2,2,2,2,2,Rs crore,#004B68,
technology_product_research__for_use_by_disabled_people,Technology Product Research  for use by disabled people,0.29,0.4,0.3,1,1,1,Rs crore,#004B68,
deaf_college,Deaf College,0,0.81,0.8,3,0.7,3,Rs crore,#004B68,
national_fellowship_for_persons_with_disabilities,National Fellowship for Persons with Disabilities,18.73,23.62,23.6,24,36.4,..,Rs crore,#004B68,
post-matric_scholarship_to_students_with_disabilities,Post-matric Scholarship to students with Disabilities,3.22,10,9.8,10,16.1,..,Rs crore,#004B68,
pre-matric_scholarship_to_students_with_disabilities,Pre-matric Scholarship to students with Disabilities,1.6,6,5.5,7,10,..,Rs crore,#004B68,
overseas_scholarship_to_students_with_disabilities,Overseas Scholarship to students with Disabilities,0,1,0.4,2,2,..,Rs crore,#004B68,
free_coaching_for_students_with_disabilites,Free Coaching for Students with Disabilites,0,0.01,..,2,2,..,Rs crore,#004B68,
scholarship_for_students_with_disabilities,Scholarship for Students with Disabilities,0.24,1.2,0.9,5.4,1,..,Rs crore,#004B68,
national_university_of_rehabilitation_science_&_disabiltiy_studies,National University of Rehabilitation Science & Disabiltiy Studies,0,1,..,35,5,13,Rs crore,#004B68,
rehabilitation_council_of_india,Rehabilitation Council of India,5.55,6.23,6.23,6.35,6.35,7.2,Rs crore,#004B68,
"indian_sign_language,_research_and_training_centre","Indian Sign Language, Research and Training Centre",0.25,3,3,4.5,5.5,5,Rs crore,#004B68,
centre_for_disability_sports,Centre for Disability Sports,0,0.01,..,2.5,2.5,2.5,Rs crore,#004B68,
national_institute_of_inclusive_&_universal_design,National Institute of Inclusive & Universal Design,0,0.36,..,0.37,0.37,0.5,Rs crore,#004B68,
national_institute_of_mental_health_rehab,National Institute of Mental Health Rehab,0.07,0.01,..,0.01,0.01,14.05,Rs crore,#004B68,
support_to_national_institutes,Support to National Institutes,159.04,200.89,201.39,190.02,222.5,215,Rs crore,#004B68,
national_institute_of_mental_health_and_neurosciences_(nimhans),National Institute of Mental Health and Neurosciences (NIMHANS),284,302.2,302.3,350.9,379.4,382.6,Rs crore,#004B68,
"lgb_regional_institute_of_mental_health,_tezpur","LGB regional Institute of Mental Health, Tezpur",32.1,80,78.7,80,55,60,Rs crore,#004B68,
national_mental_health_programme,National Mental Health Programme,35.4,35,34,35,45,50,Rs crore,#004B68,
allocation_for_persons_with_disabilities_:_dept_of_health_&_family_welfare,Allocation for Persons with Disabilities : Dept of Health & Family Welfare,351.6,417.3,415,466,479.4,492.6,Rs crore,#004B68,
promotion_of_sports_among_disabled,Promotion of Sports among Disabled,2.06,4,3.68,0.01,..,..,Rs crore,#004B68,
