slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
schemes_for_educational_development_of_scs,Schemes for Educational Development of SCs,2649.0,2816.0,2670.0,3046.0,3647.0,3615.0,3585.0,3863.0,3863.0,3670.0,Rs. Crore,#2aa5bb
pradhan_mantri_adarsh_gram_yojana,Pradhan Mantri Adarsh Gram Yojana,0.0,0.0,30.0,196.0,90.0,50.0,63.0,40.0,40.0,70.0,Rs. Crore,#2aa5bb
strengthening_of_machinery_for_enforcement_of_protection_of_civil_rights_act_and_prevention_of_atrocities_act,Strengthening of Machinery for Enforcement of Protection of Civil Rights Act 1995 and Prevention of Atrocities Act 1989,97.0,128.0,147.0,119.0,150.0,228.0,223.0,300.0,305.0,404.0,Rs. Crore,#2aa5bb
self_employment_scheme_for_rehabilitation_of_manual_scavengers,Self Employment Scheme for Rehabilitation of Manual Scavengers,20.0,35.0,0.0,0.0,10.0,1.0,0.0,5.0,5.0,20.0,Rs. Crore,#2aa5bb
special_central_assistance_to_scheduled_caste_sub_plan,Special Central Assistance to Scheduled Caste Sub plan,872.0,790.0,700.0,800.0,800.0,800.0,798.0,800.0,800.0,1000.0,Rs. Crore,#2aa5bb
interventions_for_enterprenuerial_development_of_scs,Interventions for Enterprenuerial Development of Scs,0.0,0.0,662.0,170.0,255.0,249.0,248.0,243.0,233.0,327.0,Rs. Crore,#2aa5bb
other_programmes_of_the_department_of_social_justice_and_empowerment,Other programmes of the Department of Social Justice and Empowerment,41.0,57.0,117.0,163.0,187.0,188.0,203.0,196.0,194.0,99.0,Rs. Crore,#2aa5bb
,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,
,*Schemes for Educational Development of SCs include the various scholarship schemes for SCs and for children of those engaged in unclean occupations as well as hostels for SC girls and boys,,,,,,,,,,,,
,"**Interventions for Enterpreneurial Development of SCs include: State Scheduled Castes Development Corporations, National Scheduled Castes Finance and Development Corporation, National Safai Karmacharis Finance and Development Corporation, Venture Capital, State Scheduled Castes Development Corporations and Credit Guarantee Fund for Scheduled Castes, Investment in Public Sector Enterprises.",,,,,,,,,,,,
,"***Other programmes include: Baba Saheb Dr. B.R. Ambedkar Foundation, Dr. B.R. Ambedkar International Centre, Dr. Ambedkar National Memorial, Assistance to Voluntary Organisations for SCs, National Commission for Scheduled Castes, National Commission for Safai Karmacharis, Other schemes for welfare of SCs",,,,,,,,,,,,
