slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
total_allocations_to_ministry_of_women_and_child_development,Total allocations to Ministry of Women and Child Development,17036.0,18037.0,18540.0,17249.0,17408.0,17640.4,16873.5,22094.7,21236.81,24700.0,Rs. Crore,#26393D
allocations_to_ministry_of_women_and_child_development_as_a_proportion_of_union_budget,Allocations to Ministry of Women and Child Development as a proportion of Union Budget,1.2,1.16,1.11,0.96,0.88,0.88,0.85,1.03,0.98,1.05,,#26393D
core_icds_anganwadiservices,Core ICDS/AnganwadiServices,15767.5,16400.8,16683.6,15489.3,14862.9,14735.6,14632.0,16745.2,16195.0,19335.0,Rs. Crore,#26393D
Pradhan Mantri Matru Vandana Yojana (Maternity_benefit_programme),Pradhan Mantri Matru Vandana Yojana (Maternity Benefit Programme),82.07,231.9,343.14,233.3,400.0,634.0,75.0,2700.0,2595.0,2400.0,Rs. Crore,#26393D
rajiv_gandhi_scheme_for_empowerment_of_adolescent_girls-sabla,Rajiv Gandhi Scheme for Empowerment of Adolescent Girls-SABLA,503.6,602.4,622.4,475.2,460.0,460.0,482.0,460.0,460.0,500.0,Rs. Crore,#D0A825
rajiv_gandhi_national_creche_scheme_for_children_of_working_mothers,Rajiv Gandhi National Creche Scheme for Children of Working Mothers,106.0,100.0,97.7,133.02,150.0,150.0,125.0,200.0,65.0,128.0,Rs. Crore,#D0A826
beti_bachao_beti_padhao*,Beti Bachao Beti Padhao*,,,34.9,59.4,100.0,43.0,29.0,200.0,200.0,280.0,Rs. Crore,#D0A827
one_stop_centre,One Stop Centre,0.0,0.0,0.0,10.4,75.0,75.0,40.0,90.0,90.0,105.0,Rs. Crore,#D0A828
women_helpline,Women’s Helpline,0.0,0.0,0.0,15.1,25.0,25.0,1.0,10.0,10.0,29.0,Rs. Crore,#D0A829
swadhar_greh,Swadhar Greh,52.2,53.8,29.0,48.1,100.0,90.0,84.0,100.0,75.0,95.0,Rs. Crore,#D0A831
,,,,,,,,,,,,,
,Note:* The scheme was introduced in 2014-15,,,,,,,,,,,,
