Grant,Year,Total_Expenditure
1 State Legislature,Budget 2016-17,13772.51305
1 State Legislature,Budget 2018-19,12878.98
1 State Legislature,Budget 2017-18,14726.22813
10 Other Fiscal Service,Budget 2017-18,269.3336
10 Other Fiscal Service,Budget 2018-19,299.948
10 Other Fiscal Service,Budget 2016-17,246.477
11 Secretariat and Attached offices,Budget 2018-19,81716.98
11 Secretariat and Attached offices,Budget 2016-17,314692.0742
11 Secretariat and Attached offices,Budget 2017-18,315974.5865
12 District Administration,Budget 2016-17,33566.25
12 District Administration,Budget 2017-18,41202.871
12 District Administration,Budget 2018-19,66491.03
13 Treasury & Accounts Administration,Budget 2018-19,14690.59
13 Treasury & Accounts Administration,Budget 2016-17,9999.72
13 Treasury & Accounts Administration,Budget 2017-18,14367.87
14 Police,Budget 2017-18,508039.915
14 Police,Budget 2016-17,406950.38
14 Police,Budget 2018-19,510635.5
15 Jails,Budget 2017-18,8518.15
15 Jails,Budget 2018-19,12283.24
15 Jails,Budget 2016-17,8099.04
16 Printing & Stationery,Budget 2017-18,4327.6
16 Printing & Stationery,Budget 2016-17,5090.09786
16 Printing & Stationery,Budget 2018-19,4764.04
17 Administrative and functional Buildings,Budget 2018-19,4764.04
17 Administrative and functional Buildings,Budget 2017-18,63108.9935
17 Administrative and functional Buildings,Budget 2016-17,50985.07
18 Fire Services,Budget 2016-17,14200
18 Fire Services,Budget 2018-19,20290.36
18 Fire Services,Budget 2017-18,22377.83
19 Vigilance Commission & Others,Budget 2017-18,76311.93
19 Vigilance Commission & Others,Budget 2018-19,22357.7
19 Vigilance Commission & Others,Budget 2016-17,43804.16
2 Council of Ministers,Budget 2016-17,1338.9
2 Council of Ministers,Budget 2017-18,1266.42
2 Council of Ministers,Budget 2018-19,775.884
20 Other Administrative Services,Budget 2018-19,27919.61
20 Other Administrative Services,Budget 2017-18,20920.65
20 Other Administrative Services,Budget 2016-17,19885.00463
20 Other Administrative Services,Budget 2018-19,27919.61
"21 Guest Houses, Government Hostels",Budget 2016-17,4397.66
"21 Guest Houses, Government Hostels",Budget 2017-18,3568.626
"21 Guest Houses, Government Hostels",Budget 2018-19,6126.169
22 Administrative Training,Budget 2017-18,4524.95021
22 Administrative Training,Budget 2016-17,1214.67109
22 Administrative Training,Budget 2018-19,2623.702
23 Pension,Budget 2017-18,965968.28
23 Pension,Budget 2018-19,800579.4
23 Pension,Budget 2016-17,765898.62
24 Aid Materials,Budget 2016-17,1
24 Aid Materials,Budget 2017-18,1
24 Aid Materials,Budget 2018-19,1
25 Miscellaneous General Services & others,Budget 2018-19,255074.7
25 Miscellaneous General Services & others,Budget 2016-17,75876.49
25 Miscellaneous General Services & others,Budget 2017-18,336423.39
26 Education (Higher),Budget 2018-19,254181.9
26 Education (Higher),Budget 2016-17,232280.23
26 Education (Higher),Budget 2017-18,241267.1287
27 Art & Culture,Budget 2018-19,15583.29
27 Art & Culture,Budget 2016-17,16398.56615
27 Art & Culture,Budget 2017-18,14131.84
28 State Archives,Budget 2016-17,197.88
28 State Archives,Budget 2017-18,189.8
28 State Archives,Budget 2018-19,234.49
29 Medical & Public Health,Budget 2017-18,493409.16
29 Medical & Public Health,Budget 2018-19,508216.8
29 Medical & Public Health,Budget 2016-17,393032.0848
3 Administration of justice,Budget 2016-17,37623.04975
3 Administration of justice,Budget 2018-19,62815.41
3 Administration of justice,Budget 2017-18,63106.13899
30 Water Supply & Sanitation,Budget 2016-17,257866.8797
30 Water Supply & Sanitation,Budget 2018-19,266184
30 Water Supply & Sanitation,Budget 2017-18,205843.98
"31 Urban Development ,Town & Country Planning",Budget 2017-18,55022.99614
"31 Urban Development ,Town & Country Planning",Budget 2016-17,24670.29
"31 Urban Development ,Town & Country Planning",Budget 2018-19,69246.9
32 Housing Schemes,Budget 2016-17,220696.8743
32 Housing Schemes,Budget 2017-18,1851.67
32 Housing Schemes,Budget 2018-19,279
33 Residential Buildings,Budget 2017-18,404.6
33 Residential Buildings,Budget 2018-19,618.92
33 Residential Buildings,Budget 2016-17,3418.02
34 Urban Development – Municipal Administration,Budget 2018-19,93806.06
34 Urban Development – Municipal Administration,Budget 2016-17,33008.02674
34 Urban Development – Municipal Administration,Budget 2017-18,94971.04
35 Information and Publicity,Budget 2018-19,6344.909
35 Information and Publicity,Budget 2017-18,5480.92
35 Information and Publicity,Budget 2016-17,5878.07
36 Labour and Employment,Budget 2018-19,38539.32
36 Labour and Employment,Budget 2017-18,30016.37164
36 Labour and Employment,Budget 2016-17,15101.956
37 Food Storage & Warehousing,Budget 2018-19,85723.08
