Scheme Type,Scheme Name,Actuals 2017-2018,Budget Estimates 2018-2019,Revised Estimates 2018-2019,Budget Estimates 2019-2020
Core of the Core Schemes,National Social Assistance Progam,8694,9975,8900,9200
Core of the Core Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,55166,55000,61084,60000
Core of the Core Schemes,Umbrella Scheme for Development of Scheduled Castes,5061,5183,7609,5445
Core of the Core Schemes,Umbrella Programme for Development of Scheduled Tribes,3573,3806,3778,3810
Core of the Core Schemes,Umbrella Programme for Development of Minorities,3948,1440,1440,1590
Core of the Core Schemes,Umbrella Programme for Development of Other Vulnerable Groups,1574,2287,1550,1818
Core Schemes,Green Revolution,11057,13909,11802,12561
Core Schemes,White Revolution,1574,2220,2431,2240
Core Schemes,Blue Revolution,321,643,501,560
Core Schemes,Pradhan Mantri Krishi Sinchai Yojna,6613,9429,8251,9682
Core Schemes,Pradhan Mantri Gram Sadak Yojna,16862,19000,15500,19000
Core Schemes,Pradhan Mantri Awas Yojna (PMAY),31164,27505,26405,25853
Core Schemes,National Rural Drinking Water Mission,7038,7000,5500,10001
Core Schemes,Swachh Bharat Mission,19427,17843,16978,12644
Core Schemes,National Health Mission,32000,30634,31187,33651
Core Schemes,National Education Mission,29455,32613,32334,38547
Core Schemes,National Programme of Mid Day Meal in Schools,9092,10500,9949,11000
Core Schemes,Umbrella ICDS,19234,23088,23357,27584
Core Schemes,Mission for Protection and Empowerment  for Women,945,1366,1156,1330
Core Schemes,National Livelihood Mission-Ajeevika,4926,6060,6294,9774
Core Schemes,Jobs and Skill Development,2723,5071,6830,7260
Core Schemes,"Environment, Forestry and Wildlife",955,1019,996,886
Core Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,9463,12169,12569,13750
Core Schemes,Modernisation of Police Forces,2546,3157,3192,3462
Core Schemes,Infrastructure Facilities for Judiciary,629,630,658,720
Core Schemes,Border Area Development Programme,1100,771,771,825
Core Schemes,Shyama Prasad Mukherjee Rurban Mission,553,1200,451,800
Core Schemes,Rashtriya Gram Swaraj Abhiyan (RGSA),...,...,675,822
Core Schemes,Rashtriya Swasthya Bima Yojna,505,2000,2700,6556
Major Central Sector Schemes,Crop Insurance Scheme,9419,13000,12976,14000
Major Central Sector Schemes,Interest Subsidy for Short Term Credit to Farmers,13046,15000,14987,18000
Major Central Sector Schemes,Market Intervention Scheme and Price Support Scheme (MIS-PSS),701,200,2000,3000
Major Central Sector Schemes,Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),...,...,1400,1500
Major Central Sector Schemes,Distribution of Pulses to State / Union Territories for Welfare Schemes,...,...,550,800
Major Central Sector Schemes,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,...,...,592,600
Major Central Sector Schemes,Income Support Scheme,...,...,20000,75000
Major Central Sector Schemes,Pradhan Mantri Kisan Pension Yojana,...,...,...,900
Major Central Sector Schemes,Crop Science,400,800,652,702
Major Central Sector Schemes,Agricultural Universities and Institutions,658,685,526,566
Major Central Sector Schemes,Nuclear Fuel Inventory,1028,996,418,749
Major Central Sector Schemes,Feedstock,1109,1147,1105,1098
Major Central Sector Schemes,R and D Basic Science and Engineering,836,880,1000,1320
Major Central Sector Schemes,Fuel Cycle Projects (Fast Reactor Fuel Cycle Facility),420,610,650,750
Major Central Sector Schemes,Urea Subsidy,44223,45000,44995,53629
Major Central Sector Schemes,Nutrient Based Subsidy,22244,25090,25090,26367
Major Central Sector Schemes,Purchase of two new aircraft for Special Extra Section Flight operations,...,4470,3550,1084
Major Central Sector Schemes,Air India Asset Holding Limited(SPV),...,...,1300,2600
Major Central Sector Schemes,Exploration of Coal and Lignite,159,500,500,937
Major Central Sector Schemes,Interest Equalisation Scheme,2000,2500,2600,2910
Major Central Sector Schemes,National Industrial Corridor Development and Implementation Trust (NICDIT),797,1097,1097,850
Major Central Sector Schemes,"Exhibition-Cum-ConventionCentre,Dwarka",495,700,700,500
Major Central Sector Schemes,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,169,1500,1500,1700
Major Central Sector Schemes,Optical Fibre Cable based network for Defence Services,3755,4500,2500,4725
Major Central Sector Schemes,Compensation to Service Providers for creation and augmentation of telecom infrastructure,7000,10000,5000,8350
Major Central Sector Schemes,Price Stabilisation Fund,3500,1500,1500,2000
Major Central Sector Schemes,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under,4500,4000,3884,4102
