Department,Revenue Actuals 2015-2016,Capital Actuals 2015-2016,Total Actuals 2015-2016,Revenue Budget Estimates 2016-2017,Capital Budget Estimates 2016-2017,Total Budget Estimates 2016-2017,Revenue Revised Estimates 2016-2017,Capital Revised Estimates 2016-2017,Total Revised Estimates 2016-2017,Revenue Budget Estimates 2017-2018,Capital Budget Estimates 2017-2018,Total Budget Estimates 2017-2018
"1. Department of Agriculture, Cooperation and Farmers' Welfare",15262.86,33.18,15296.04,35952.83,30.86,35983.69,39779.38,61.12,39840.5,41775.57,79.43,41855
2. Department of Agricultural Research and Education,5386.26,,5386.26,6620,,6620,6238,,6238,6800,,6800
"3. Department of Animal Husbandry, Dairying and Fisheries",1402.75,7.37,1410.12,1845.45,36.06,1881.51,1979.6,14.4,1994,2327.48,43.52,2371
4. Atomic Energy,6326.2,4978.2,11304.4,5794.03,5888.45,11682.48,7579.74,4382.76,11962.5,7264.02,5197.18,12461.2
"5. Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",1072.26,3.08,1075.34,1323.2,3,1326.2,1304.36,3,1307.36,1425.35,3.3,1428.65
6. Department of Chemicals and Petrochemicals,165.09,24.61,189.7,162.01,40.03,202.04,158.39,24.61,183,273.39,24.61,298
7. Department of Fertilisers,72026.49,1000,73026.49,70038.33,1.04,70039.37,70030.85,,70030.85,70032.67,0.04,70032.71
8. Department of Pharmaceuticals,188.41,24.25,212.66,211.3,0.1,211.4,211.3,0.1,211.4,247.68,0.06,247.74
9. Ministry of Civil Aviation,807.07,3361.02,4168.09,810.48,1780.2,2590.68,741.41,2710.92,3452.33,781.3,1920.7,2702
10. Ministry of Coal,569.88,,569.88,361,,361,556.36,,556.36,745.1,,745.1
11. Department of Commerce,4805.77,149.66,4955.43,4262.8,100,4362.8,4352.74,210,4562.74,4314.61,151.22,4465.83
12. Department of Industrial Policy and Promotion,2413.01,1.52,2414.53,3016.94,9.61,3026.55,2006.65,9.61,2016.26,3599.19,9.68,3608.87
13. Department of Posts,6007.18,335.18,6342.36,8619.27,406.26,9025.53,9960.15,556.26,10516.41,9055,495,9550
14. Department of Telecommunications,18162.85,2321.81,20484.66,15555.17,2858.7,18413.87,20926.75,3345.54,24272.29,23301.47,3386,26687.47
15. Department of Consumer Affairs,272.77,16.8,289.57,1224.31,17.3,1241.61,3795.3,14.7,3810,3705.65,21.35,3727
16. Department of Food and Public Distribution,140450.05,70.86,140520.91,140098.4,51.6,140150,139575.96,601.6,140177.56,150456.64,48.05,150504.69
17. Ministry of Corporate Affairs,357.53,46.85,404.38,314.43,30,344.43,359.94,24.63,384.57,418.54,29.5,448.04
18. Ministry of Culture,1951.31,55.63,2006.94,2430,70,2500,2430,58.63,2488.63,2661.79,76.68,2738.47
19. Ministry of Defence (Misc.),20327.69,11939.12,32266.81,24510.23,11622.95,36133.18,25968.89,12759.9,38728.79,9760.53,5091.69,14852.22
20. Defence Services (Revenue),129739.92,,129739.92,143869.46,,143869.46,149051.34,,149051.34,172773.89,,172773.89
21. Capital Outlay on Defence Services,,71675.43,71675.43,,78586.68,78586.68,,71700,71700,,86488.01,86488.01
22. Defence Pensions,60237.6,,60237.6,82332.66,,82332.66,85625.96,,85625.96,85740,,85740
23. Ministry of Development of North Eastern Region,1694.89,291.91,1986.8,1951.01,479,2430.01,2050.42,474,2524.42,2084.45,598,2682.45
24. Ministry of Drinking Water and Sanitation,11081.18,,11081.18,14009.7,,14009.7,16511.76,,16511.76,20010.79,,20010.79
