Particulars,Actuals 2017-2018 Revenue,Actuals 2017-2018 Capital,Actuals 2017-2018 Total,Budget Estimates 2018-2019 Revenue,Budget Estimates 2018-2019 Capital,Budget Estimates 2018-2019 Total,Revised Estimates 2018-2019 Revenue,Revised Estimates 2018-2019 Capital,Revised Estimates 2018-2019 Total,Budget Estimates 2019-2020 Revenue,Budget Estimates 2019-2020 Capital,Budget Estimates 2019-2020 Total
"Department of Agriculture, Cooperation and Farmers' Welfare",46437.8,17.36,46455.16,46586.3,113.7,46700,67764.98,35.02,67800,129550.51,34.7,129585.21
Department of Agricultural Research and Education,6989.92,,6989.92,7800,,7800,7952.73,,7952.73,8078.76,,8078.76
"Department of Animal Husbandry, Dairying and Fisheries",2517.97,8,2525.97,3536.11,43.89,3580,3647.52,15.76,3663.28,3466.38,44.02,3510.4
Atomic Energy,13305.12,6762.46,20067.58,13929.15,7589.23,21518.38,13372.38,9964.71,23337.09,14758.52,9409.37,24167.89
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",2006.51,28.21,2034.72,2107.1,23.7,2130.8,2190.5,6.7,2197.2,2245.55,0.21,2245.76
Department of Chemicals and Petrochemicals,227.35,384.75,612.1,199.65,,199.65,340.99,,340.99,263.65,,263.65
Department of Fertilisers,89788.56,,89788.56,73485.35,0.04,73485.39,73482.74,0.04,73482.78,78514.95,0.05,78515
Department of Pharmaceuticals,252.42,,252.42,261.47,0.06,261.53,213.41,7,220.41,235.45,0.06,235.51
Ministry of Civil Aviation,827.29,1836.84,2664.13,5881.86,721,6602.86,5701.18,3999.8,9700.98,4474.99,25.01,4500
Ministry of Coal,722.21,688.98,1411.19,770.91,,770.91,781.85,,781.85,822.05,,822.05
Department of Commerce,5395.34,191.11,5586.45,4741.7,510,5251.7,5685.3,510,6195.3,5709.32,510,6219.32
Department of Industrial Policy and Promotion,3526.7,526.94,4053.64,5430.56,709.67,6140.23,5422.23,718,6140.23,5001.79,672.72,5674.51
Department of Posts,26018.84,763.28,26782.12,28515.04,757.52,29272.56,29082.38,824.38,29906.76,30412,947.74,31359.74
Department of Telecommunications,26848.39,4206.32,31054.71,33052.53,5002.75,38055.28,24530.48,5956.75,30487.23,30693.64,9719.72,40413.36
Department of Consumer Affairs,3714.03,16.52,3730.55,1755.93,48.59,1804.52,1744.56,54.81,1799.37,2240.32,51.5,2291.82
Department of Food and Public Distribution,106287.04,50499.56,156786.6,173735,50424.1,224159.1,176983.12,51354,228337.12,190914.27,51326.12,242240.39
Ministry of Corporate Affairs,505.63,20.79,526.42,567.65,26.5,594.15,588.98,36,624.98,527.63,51,578.63
Ministry of Culture,2476.7,53.8,2530.5,2764.28,79.04,2843.32,2687.96,112.04,2800,2874.31,168.04,3042.35
Ministry of Defence (Misc.),28062.98,5048.15,33111.13,28458.04,6651.73,35109.77,28811.18,6640.98,35452.16,30845.34,6981.82,37827.16
Defence Services (Revenue),201692.8,,201692.8,205125.8,,205125.8,207920.71,,207920.71,218782.71,,218782.71
Capital Outlay on Defence Services,,90438.4,90438.4,,93982.13,93982.13,,93982.13,93982.13,,103380.34,103380.34
Defence Pensions,91999.58,,91999.58,108853.3,,108853.3,106775.14,,106775.14,112079.57,,112079.57
Ministry of Development of North Eastern Region,2277.61,290.75,2568.36,2326,734,3060,2368.42,321.06,2689.48,2325.9,734.1,3060
Ministry of Drinking Water and Sanitation,27338.77,,27338.77,22356.6,,22356.6,25384.29,,25384.29,25966.7,,25966.7
Ministry of Earth Sciences,1497.88,55.43,1553.31,1704.28,100,1804.28,1704.15,100,1804.15,1788.05,118,1906.05
Ministry of Electronics and Information Technology,3819.78,219.76,4039.54,5675,325,6000,6070.74,310.26,6381,6072,348,6420
"Ministry of Environment, Forests and Climate Change",4242.15,35.53,4277.68,2594.67,88.75,2683.42,2683.41,50.01,2733.42,3219.2,64.52,3283.72
Ministry of External Affairs,12379.29,1370.44,13749.73,13374.5,1636.5,15011,14636.5,945.5,15582,14686.78,1375,16061.78
Department of Economic Affairs,3477.31,6012.91,9490.22,4871.23,13458.23,18329.46,3177.5,26445.14,29622.64,3061.18,17168.22,20229.4
Department of Expenditure,224.47,,224.47,413.33,,413.33,341.02,,341.02,400.55,,400.55
Department of Financial Services,2038.31,104730,106768.31,1739.05,69838.01,71577.06,1462.02,114978,116440.02,1305.16,3935.05,5240.21
Department of Investment and Public Asset Management (DIPAM),32.19,,32.19,44,,44,146.15,,146.15,47.08,,47.08
Department of Revenue,99491.5,1.14,99492.64,180941.26,8.44,180949.7,119388.75,8.21,119396.96,203458,8.73,203466.73
Direct Taxes,6087.65,181.68,6269.33,6728,254,6982,7127.96,254.04,7382,7036.44,302,7338.44
Indirect Taxes,7041.39,349,7390.39,7418.5,407,7825.5,7218.65,407.01,7625.66,7493.65,406.85,7900.5
Indian Audit and Accounts Department,4305.81,4.74,4310.55,4614.12,16,4630.12,4810.01,41.55,4851.56,4999.91,16,5015.91
Interest Payments,543710.07,,543710.07,590794.95,,590794.95,599991.6,,599991.6,677060.92,,677060.92
Repayment of Debt,,5872604.63,5872604.63,,6084973.37,6084973.37,,6191567.49,6191567.49,,5983187.09,5983187.09
Pensions,41235.45,,41235.45,47430,,47430,47430,,47430,49565,,49565
Transfers to States,111077.1,17499.95,128577.05,141873.5,20100,161973.5,135943.78,23900.84,159844.62,164382.22,19823.28,184205.5
Ministry of Food Processing Industries,685.84,,685.84,1400,,1400,1000,,1000,1196.6,,1196.6
Department of Health and Family Welfare,76257.9,5301.25,81559.15,74349.45,2720.4,77069.85,77593.98,4439.98,82033.96,87799.66,2890.2,90689.86
Department of Health Research,3145.28,,3145.28,3216,,3216,3190.58,,3190.58,3374.65,,3374.65
Department of Heavy Industry,758.88,345.74,1104.62,739.24,386.49,1125.73,572.45,463.89,1036.34,716.44,445.56,1162
Department of Public Enterprises,18.69,,18.69,20.44,,20.44,21.44,,21.44,22.64,,22.64
Ministry of Home Affairs,4776.55,283.23,5059.78,4468.91,324.45,4793.36,4621.39,278.61,4900,4615.04,280.77,4895.81
Cabinet,608.17,,608.17,770,,770,920.01,715.89,1635.9,828.85,,828.85
Police,71974.22,10544.5,82518.72,77314.8,11063.45,88378.25,83969.79,9810.5,93780.29,88732.73,10792.74,99525.47
Andaman and Nicobar Islands,3884.49,906.56,4791.05,3993,600.86,4593.86,4185.53,474.07,4659.6,4286,601.58,4887.58
