Scheme Type,Scheme Name,Actuals 2018-2019,Budget Estimates 2019-2020,Revised Estimates 2019-2020,Budget Estimates 2020-2021
Core of the Core Schemes,National Social Assistance Progam,8418,9200,9200,9197
Core of the Core Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,61815,60000,71002,61500
Core of the Core Schemes,Umbrella Scheme for Development of Scheduled Castes,7574,5445,5568,6242
Core of the Core Schemes,Umbrella Programme for Development of Scheduled Tribes,3781,3810,4194,4191
Core of the Core Schemes,Umbrella Programme for Development of Minorities,886,1590,1709,1820
Core of the Core Schemes,Umbrella Programme for Development of Other Vulnerable Groups,1564,1818,1846,2210
Core Schemes,Green Revolution,11758,12561,9965,13320
Core Schemes,White Revolution,2422,2240,1799,1805
Core Schemes,Blue Revolution,485,560,455,570
Core Schemes,Pradhan Mantri Krishi Sinchai Yojna,8143,9682,7896,11127
Core Schemes,Pradhan Mantri Gram Sadak Yojna,15414,19000,14070,19500
Core Schemes,Pradhan Mantri Awas Yojna (PMAY),25443,25853,25328,27500
Core Schemes,National Rural Drinking Water Mission,5484,10001,10001,11500
Core Schemes,Swachh Bharat Mission (Urban),2462,2650,1300,2300
Core Schemes,Swachh Bharat Mission (Gramin),12913,9994,8338,9994
Core Schemes,National Health Mission,31502,33651,34290,34115
Core Schemes,National Education Mission,30830,38547,37672,39161
Core Schemes,National Programme of Mid Day Meal in Schools,9514,11000,9912,11000
Core Schemes,Umbrella ICDS,21642,27584,24955,28557
Core Schemes,Mission for Protection and Empowerment  for Women,1138,1330,961,1163
Core Schemes,National Livelihood Mission-Ajeevika,6282,9774,9774,10005
Core Schemes,Jobs and Skill Development,6126,7260,5749,5372
Core Schemes,"Environment, Forestry and Wildlife",978,886,787,926
Core Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,12085,13750,9842,13750
Core Schemes,Modernisation of Police Forces,3260,3462,4155,3162
Core Schemes,Infrastructure Facilities for Judiciary,657,720,990,762
Core Schemes,Border Area Development Programme,771,825,825,784
Core Schemes,Shyama Prasad Mukherjee Rurban Mission,433,800,300,600
Core Schemes,Rashtriya Gram Swaraj Abhiyan (RGSA),649,822,465,858
Core Schemes,PMJAY-Ayushman Bharat,2602,6556,3314,6429
Major Central Sector Schemes,Crop Insurance Scheme,11937,14000,13641,15695
Major Central Sector Schemes,Interest Subsidy for Short Term Credit to Farmers,11496,18000,17863,21175
Major Central Sector Schemes,Market Intervention Scheme and Price Support Scheme (MIS-PSS),1400,3000,2010,2000
Major Central Sector Schemes,"Promotion of Agricultural Mechanization for in-situ Managementof Crop Residue
",584,600,594,600
Major Central Sector Schemes,Distribution of Pulses to State / Union Territories for Welfare Schemes,...,800,370,800
Major Central Sector Schemes,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)
",1241,75000,54370,75000
Major Central Sector Schemes,"National Animal Disease Control Programme for Foot and Mouth Disease (FMD) and Brucellosis
",...,500,811,1300
Major Central Sector Schemes,Crop Science,652,702,635,716
Major Central Sector Schemes,R and D Basic Science and Engineering,1021,1320,1170,1250
Major Central Sector Schemes,Air India Asset Holding Limited(SPV),1300,2600,2600,2205
Major Central Sector Schemes,Exploration of Coal and Lignite,448,937,755,700
Major Central Sector Schemes,Interest Equalisation Scheme,2600,2910,2868,2300
Major Central Sector Schemes,National Industrial Corridor Development and Implementation Trust (NICDIT),1097,850,950,1200
Major Central Sector Schemes,Fund of Funds,...,100,431,1055
Major Central Sector Schemes,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,1500,1700,2100,1716
Major Central Sector Schemes,Optical Fibre Cable based network for Defence Services,1927,4725,4725,5000
Major Central Sector Schemes,Compensation to Service Providers for creation and augmentation of telecom infrastructure,4788,8350,3000,8000
Major Central Sector Schemes,Price Stabilisation Fund,1500,2000,1820,2000
Major Central Sector Schemes,Schemes of North East Council,378,580,385,606
Major Central Sector Schemes,"North East Road Sector Development Scheme
",371,666,662,800
Major Central Sector Schemes,"Ocean services, Modelling,Application, Resources andTechnology (O-SMART)
",...,483,445,567
Major Central Sector Schemes,R and D in IT/Electronics/CCBT,179,416,435,763
Major Central Sector Schemes,Exim Bank,629,779,1153,779
Major Central Sector Schemes,"Re-capitalization of Insurance Companies
",...,0,2500,6950
Major Central Sector Schemes,Central Pool of Resources for North East and Sikkim,526,531,576,552
Major Central Sector Schemes,"Promotion of Electronics and IT HW Manufacturing  (MSIPS, EDF and Manufacturing Clusters)",727,986,690,980
Major Central Sector Schemes,National Investment and Infrastructure Fund (NIIF),1196,1000,2003,503
Major Central Sector Schemes,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD),2000,1500,1500,1000
Major Central Sector Schemes,Subscription to the Share Capital of Export-Import Bank of India,500,950,950,1300
Major Central Sector Schemes,Pradhan Mantri Kisan Sampada Yojana,592,1101,889,1081
Major Central Sector Schemes,National AIDS and STD Control Programme,1803,2500,2956,2900
Major Central Sector Schemes,Family Welfare Schemes,490,700,514,600
Major Central Sector Schemes,Pardhan Mantri Swasthya Suraksha Yojana,3797,4000,4733,6020
Major Central Sector Schemes,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India -(FAME - India).
",145,500,500,693
Major Central Sector Schemes,"Schemes for Safety of Women
",50,50,50,855
Major Central Sector Schemes,Metro Projects,14265,17714,17612,17482
Major Central Sector Schemes,"National Capital Region Transport Corporation
",100,974,824,2487
Major Central Sector Schemes,"Higher Education Financing Agency (HEFA)
",2263,2100,2100,2200
Major Central Sector Schemes,"Interest Subsidy and contribution for Guarantee Funds
",1575,1900,1900,1900
Major Central Sector Schemes,"National Ganga Plan and Ghat Works
",688,750,353,800
Major Central Sector Schemes,National River Conservation Plan,1620,1220,1200,840
Major Central Sector Schemes,"Employees Pension Scheme, 1995",4900,4500,6076,7457
Major Central Sector Schemes,"Prime Minister Employment Generation Programme (PMEGP)
",2119,2327,2464,2500
Major Central Sector Schemes,"Infrastructure Development and Capacity Building
",309,420,471,802
Major Central Sector Schemes,Education Empowerment,1986,2363,2249,2530
Major Central Sector Schemes,"Skill Development and Livelihoods
",482,557,582,602
Major Central Sector Schemes,Wind Power,950,920,1026,1299
Major Central Sector Schemes,Solar Power,1904,2480,1789,2150
Major Central Sector Schemes,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)
",...,...,...,700
Major Central Sector Schemes,"Phulpur Dhamra Haldia Pipeline Project
",1207,1552,1552,728
Major Central Sector Schemes,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve
",608,1,1,690
Major Central Sector Schemes,"LPG Connection to PoorHouseholds (Saubhagya)
",3200,2724,3724,1118
Major Central Sector Schemes,"Deen Dayal Upadhyaya Gram Jyoti Yojna
",3800,4066,4066,4500
Major Central Sector Schemes,"Integrated Power Development Scheme
",3897,5280,5663,5300
Major Central Sector Schemes,Strengthening of Power Systems,2802,1478,1860,1843
Major Central Sector Schemes,Power System Development Fund,544,1035,574,574
Major Central Sector Schemes,Bridge Works,532,745,753,777
Major Central Sector Schemes,Metropolitan Transportation Projects,1164,1600,1580,1400
Major Central Sector Schemes,Road Works,37811,45880,45887,48759
Major Central Sector Schemes,"National Highways Authority of India
",39287,36691,36691,42500
Major Central Sector Schemes,"Science and Technology Institutional and Human Capacity Building
",989,1085,1076,1163
Major Central Sector Schemes,Research and Development,472,611,589,718
Major Central Sector Schemes,"Innovation, Technology Development and Deployment
",773,872,812,1051
Major Central Sector Schemes,"Biotechnology Research and Development
",1329,1475,1315,1580
Major Central Sector Schemes,Space Technology,6383,8408,8991,9762
Major Central Sector Schemes,Space Applications,1811,1885,1863,1810
Major Central Sector Schemes,INSAT Satellite Systems,1593,884,1009,751
Major Central Sector Schemes,Capacity Development (CD),216,529,529,706
Major Central Sector Schemes, Member of Parliament Local Area Development Scheme (MPLAD),3950,3960,3960,3960
Major Central Sector Schemes,Amended Technology Upgradation Fund Scheme(ATUFS),616,700,494,762
Major Central Sector Schemes,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),1101,1106,566,1200
Major Central Sector Schemes,Central Silk Board,601,730,765,800
Major Central Sector Schemes,Eklavya Model Residential School (EMRS),...,0,16,1313
Major Central Sector Schemes, Khelo India,342,500,578,890
Major Central Sector Schemes,Freedom Fighters (pension and other benefits),875,953,953,775
Major Central Sector Schemes, Border Infrastructure and Management,2030,2129,2128,1997
Major Central Sector Schemes,Police Infrastructure,5085,4757,4479,4135
Major Central Sector Schemes,Credit Linked Capital Subsidy and Technology Upgradation Scheme,1007,706,806,654
Major Central Sector Schemes, Budgetary Support to Schemes of Ministry of Railways,54913,68019,69967,72216
Major Central Sector Schemes,Sagarmala,360,550,381,297
Major Central Sector Schemes,"Centenaries and Anniversaries, Celebrations and Schemes",156,110,104,160
Major Central Sector Schemes,North East Special Infrastructure Development Scheme (NESIDS),94,695,558,674
Major Central Sector Schemes,"Support to Infrastructure Pipeline
",0,0,0,12500
Major Central Sector Schemes,"Pradhan Mantri Mudra Yojana
",500,500,500,500
Major Central Sector Schemes, Stimulus Package for Export Credit- NIRVIK Yojna,0,0,0,95
